cal BP,Posterior probability
-330,1.9968051118210863E-5
-320,0.0
-310,5.990415335463259E-5
-300,0.0
-290,3.9936102236421726E-5
-280,1.9968051118210863E-5
-270,1.9968051118210863E-5
-260,1.9968051118210863E-5
-250,1.9968051118210863E-5
-240,1.9968051118210863E-5
-230,5.990415335463259E-5
-220,1.9968051118210863E-5
-210,7.987220447284345E-5
-200,7.987220447284345E-5
-190,1.7971246006389776E-4
-180,2.196485623003195E-4
-170,1.597444089456869E-4
-160,1.1980830670926518E-4
-150,4.39297124600639E-4
-140,3.3945686900958464E-4
-130,3.3945686900958464E-4
-120,2.795527156549521E-4
-110,7.787539936102236E-4
-100,7.388178913738019E-4
-90,7.787539936102236E-4
-80,0.0011980830670926517
-70,0.0015774760383386582
-60,0.002056709265175719
-50,0.002416134185303514
-40,0.0028154952076677314
-30,0.0037140575079872206
-20,0.004293130990415336
-10,0.006389776357827476
0,0.007547923322683706
10,0.00902555910543131
20,0.01112220447284345
30,0.014217252396166134
40,0.015595047923322683
50,0.018210862619808307
60,0.02036741214057508
70,0.023482428115015976
80,0.025818690095846645
90,0.02753594249201278
100,0.02965255591054313
110,0.030471246006389778
120,0.03282747603833866
130,0.033206869009584666
140,0.036301916932907345
150,0.036182108626198084
160,0.038538338658146966
170,0.037440095846645365
180,0.03702076677316294
190,0.03520367412140575
200,0.03488418530351438
210,0.03304712460063898
220,0.03168929712460064
230,0.029692492012779553
240,0.0268370607028754
250,0.025678913738019168
260,0.022384185303514378
270,0.021845047923322685
280,0.018650159744408947
290,0.018390575079872205
300,0.016833067092651758
310,0.01641373801916933
320,0.015095846645367412
330,0.014217252396166134
340,0.013019169329073483
350,0.011002396166134186
360,0.009744408945686902
370,0.0090055910543131
380,0.008925718849840256
390,0.008466453674121405
400,0.007308306709265176
410,0.005930511182108626
420,0.006349840255591054
430,0.005611022364217252
440,0.00509185303514377
450,0.004792332268370607
460,0.004133386581469649
470,0.0038738019169329073
480,0.0034345047923322685
490,0.0029153354632587857
500,0.0023761980830670926
510,0.0025359424920127797
520,0.0020766773162939297
530,0.001737220447284345
540,0.0015774760383386582
550,0.001178115015974441
560,9.185303514376997E-4
570,8.985623003194888E-4
580,6.190095846645367E-4
590,4.193290734824281E-4
600,3.194888178913738E-4
610,3.9936102236421724E-4
620,1.3977635782747605E-4
630,2.196485623003195E-4
640,9.984025559105431E-5
650,7.987220447284345E-5
660,3.9936102236421726E-5
670,1.9968051118210863E-5
680,1.9968051118210863E-5
